Brand--BACARDI                         Description--GOLD RUM             	 Size--.375L	 STD_QTY--1	 YTD--42
Brand--BACARDI                         Description--GOLD RUM             	 Size--.200L	 STD_QTY--1	 YTD--39
Brand--BACARDI                         Description--SELECT               	 Size--1.75L	 STD_QTY--1	 YTD--127
Brand--BACARDI                         Description--SELECT               	 Size--750ml	 STD_QTY--1	 YTD--5
Brand--BACARDI                         Description--SELECT               	 Size--.375L	 STD_QTY--1	 YTD--1
Brand--BACARDI                         Description--SELECT               	 Size--.200L	 STD_QTY--1	 YTD--0
Brand--BACARDI                         Description--RUM 151              	 Size--.375L	 STD_QTY--1	 YTD--24
Brand--BACARDI                         Description--RUM 151              	 Size--.200L	 STD_QTY--1	 YTD--0
Brand--BACARDI                         Description--LIMON                	 Size--750ml	 STD_QTY--1	 YTD--17
Brand--BACARDI                         Description--LIMON                	 Size--.375L	 STD_QTY--1	 YTD--24
Brand--BACARDI                         Description--LIMON                	 Size--.200L	 STD_QTY--1	 YTD--1
Brand--BACARDI                         Description--ORANGE RUM           	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--BACARDI                         Description--ORANGE RUM           	 Size--.200L	 STD_QTY--1	 YTD--0
Brand--BACARDI                         Description--COCONUT RUM          	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--BACARDI                         Description--GRAND MELON          	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--BACARDI                         Description--PEACH RED            	 Size--750ml	 STD_QTY--1	 YTD--2
Brand--BACARDI                         Description--GOLD RUM             	 Size--.100L	 STD_QTY--1	 YTD--17
Brand--BACARDI                         Description--LIGHT                	 Size--.100L	 STD_QTY--1	 YTD--73
Brand--BACARDI                         Description--DRAGON BERRY         	 Size--750ml	 STD_QTY--1	 YTD--21
Brand--BACARDI                         Description--RUM 151              	 Size--1.0L 	 STD_QTY--1	 YTD--7
Brand--BACARDI                         Description--LIGHT RUM            	 Size--750ml	 STD_QTY--1	 YTD--123
Brand--BACARDI                         Description--GOLD RUM             	 Size--750ml	 STD_QTY--1	 YTD--25
Brand--BACARDI                         Description--CHERRY TORCHED       	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--BACARDI                         Description--LIMON                	 Size--50 ml	 STD_QTY--1	 YTD--37
Brand--BACARDI                         Description--DRAGON BERRY         	 Size--1.75L	 STD_QTY--1	 YTD--4
Brand--BACARDI                         Description--ROCK COCONUT         	 Size--750ml	 STD_QTY--1	 YTD--1
Brand--BACARDI                         Description--GRAPE ARCTIC         	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--BACARDI                         Description--RAZZ                 	 Size--50 ml	 STD_QTY--1	 YTD--48
Brand--BACARDI                         Description--OAKHEART             	 Size--750ml	 STD_QTY--1	 YTD--5
Brand--BACARDI                         Description--OAKHEART             	 Size--50 ml	 STD_QTY--1	 YTD--26
Brand--BACARDI                         Description--PINEAPPLE FUSION     	 Size--750ml	 STD_QTY--1	 YTD--3
Brand--BACARDI                         Description--BLACK RAZZ           	 Size--750ml	 STD_QTY--1	 YTD--2
Brand--BACARDI                         Description--MANGO FUSION         	 Size--750ml	 STD_QTY--1	 YTD--2
Brand--BACARDI                         Description--TANGERINE            	 Size--750ml	 STD_QTY--1	 YTD--0
Brand--BACARDI 8                       Description--8 YEARS              	 Size--750ml	 STD_QTY--0	 YTD--1
Brand--BACARDI PD                      Description--ZOMBIE               	 Size--1.75L	 STD_QTY--1	 YTD--12
Brand--BACARDI PD                      Description--HURRICANE            	 Size--1.75L	 STD_QTY--1	 YTD--9
Brand--BACARDI PD                      Description--HURRICANE            	 Size--750ml	 STD_QTY--1	 YTD--11
Brand--BACARDI PD                      Description--BAHAMA MAMA          	 Size--1.75L	 STD_QTY--1	 YTD--10
Brand--BACARDI PD                      Description--BAHAMA MAMA          	 Size--750ml	 STD_QTY--1	 YTD--7
Brand--BACARDI PD                      Description--ZOMBIE               	 Size--750ml	 STD_QTY--1	 YTD--15
Brand--BACARDI PD                      Description--MAI TAI              	 Size--1.75L	 STD_QTY--1	 YTD--3
Brand--BACARDI PD                      Description--MAI TAI              	 Size--750ml	 STD_QTY--1	 YTD--5
